File Path,File Name,Title,Splunk Query
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_exec_into_container.yml,kubernetes_audit_exec_into_container.yml,Potential Remote Command Execution In Pod Container,verb=create objectRef.resource=pods objectRef.subresource=exec
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_hostpath_mount.yml,kubernetes_audit_hostpath_mount.yml,Container With A hostPath Mount Created,verb=create objectRef.resource=pods hostPath=
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_pod_in_system_namespace.yml,kubernetes_audit_pod_in_system_namespace.yml,Creation Of Pod In System Namespace,verb=create objectRef.resource=pods objectRef.namespace=kube-system
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_privileged_pod_creation.yml,kubernetes_audit_privileged_pod_creation.yml,Privileged Container Deployed,verb=create objectRef.resource=pods capabilities=
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_rbac_permisions_listing.yml,kubernetes_audit_rbac_permisions_listing.yml,RBAC Permission Enumeration Attempt,verb=create apiGroup=authorization.k8s.io objectRef.resource=selfsubjectrulesreviews
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_rolebinding_modification.yml,kubernetes_audit_rolebinding_modification.yml,Kubernetes Rolebinding Modification,"objectRef.apiGroup=rbac.authorization.k8s.io objectRef.resource IN (clusterrolebindings, rolebindings) verb IN (create, delete, patch, replace, update)"
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_secrets_enumeration.yml,kubernetes_audit_secrets_enumeration.yml,Kubernetes Secrets Enumeration,verb=list objectRef.resource=secrets
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_secrets_modified_or_deleted.yml,kubernetes_audit_secrets_modified_or_deleted.yml,Kubernetes Secrets Modified or Deleted,"objectRef.resource=secrets verb IN (create, delete, patch, replace, update)"
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_serviceaccount_creation.yml,kubernetes_audit_serviceaccount_creation.yml,New Kubernetes Service Account Created,verb=create objectRef.resource=serviceaccounts
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_sidecar_injection.yml,kubernetes_audit_sidecar_injection.yml,Potential Sidecar Injection Into Running Deployment,verb=patch apiGroup=apps objectRef.resource=deployments
C:\SigmaRules\sigma\rules\application\kubernetes\audit\kubernetes_audit_unauthorized_unauthenticated_actions.yml,kubernetes_audit_unauthorized_unauthenticated_actions.yml,Kubernetes Unauthorized or Unauthenticated Access,"responseStatus.code IN (401, 403)"
C:\SigmaRules\sigma\rules\application\nodejs\nodejs_rce_exploitation_attempt.yml,nodejs_rce_exploitation_attempt.yml,Potential RCE Exploitation Attempt In NodeJS,node:child_process
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_ftp_login_attempt.yml,opencanary_ftp_login_attempt.yml,OpenCanary - FTP Login Attempt,logtype=2000
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_git_clone_request.yml,opencanary_git_clone_request.yml,OpenCanary - GIT Clone Request,logtype=16001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_httpproxy_login_attempt.yml,opencanary_httpproxy_login_attempt.yml,OpenCanary - HTTPPROXY Login Attempt,logtype=7001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_http_get.yml,opencanary_http_get.yml,OpenCanary - HTTP GET Request,logtype=3000
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_http_post_login_attempt.yml,opencanary_http_post_login_attempt.yml,OpenCanary - HTTP POST Login Attempt,logtype=3001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_mssql_login_sqlauth.yml,opencanary_mssql_login_sqlauth.yml,OpenCanary - MSSQL Login Attempt Via SQLAuth,logtype=9001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_mssql_login_winauth.yml,opencanary_mssql_login_winauth.yml,OpenCanary - MSSQL Login Attempt Via Windows Authentication,logtype=9002
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_mysql_login_attempt.yml,opencanary_mysql_login_attempt.yml,OpenCanary - MySQL Login Attempt,logtype=8001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_ntp_monlist.yml,opencanary_ntp_monlist.yml,OpenCanary - NTP Monlist Request,logtype=11001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_redis_command.yml,opencanary_redis_command.yml,OpenCanary - REDIS Action Command Attempt,logtype=17001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_sip_request.yml,opencanary_sip_request.yml,OpenCanary - SIP Request,logtype=15001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_smb_file_open.yml,opencanary_smb_file_open.yml,OpenCanary - SMB File Open Request,logtype=5000
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_snmp_cmd.yml,opencanary_snmp_cmd.yml,OpenCanary - SNMP OID Request,logtype=13001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_ssh_login_attempt.yml,opencanary_ssh_login_attempt.yml,OpenCanary - SSH Login Attempt,logtype=4002
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_ssh_new_connection.yml,opencanary_ssh_new_connection.yml,OpenCanary - SSH New Connection Attempt,logtype=4000
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_telnet_login_attempt.yml,opencanary_telnet_login_attempt.yml,OpenCanary - Telnet Login Attempt,logtype=6001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_tftp_request.yml,opencanary_tftp_request.yml,OpenCanary - TFTP Request,logtype=10001
C:\SigmaRules\sigma\rules\application\opencanary\opencanary_vnc_connection_attempt.yml,opencanary_vnc_connection_attempt.yml,OpenCanary - VNC Connection Attempt,logtype=12001
C:\SigmaRules\sigma\rules\application\python\app_python_sql_exceptions.yml,app_python_sql_exceptions.yml,Python SQL Exceptions,DataError OR IntegrityError OR ProgrammingError OR OperationalError
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_atsvc_lateral_movement.yml,rpc_firewall_atsvc_lateral_movement.yml,Remote Schedule Task Lateral Movement via ATSvc,"EventLog=RPCFW EventID=3 InterfaceUuid=1ff70682-0a51-30e8-076d-740be8cee98b OpNum IN (0, 1)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_atsvc_recon.yml,rpc_firewall_atsvc_recon.yml,Remote Schedule Task Recon via AtScv,"EventLog=RPCFW EventID=3 InterfaceUuid=1ff70682-0a51-30e8-076d-740be8cee98b NOT (OpNum IN (0, 1))"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_dcsync_attack.yml,rpc_firewall_dcsync_attack.yml,Possible DCSync Attack,"EventLog=RPCFW EventID=3 InterfaceUuid=e3514235-4b06-11d1-ab04-00c04fc2dcd2 NOT (OpNum IN (0, 1, 12))"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_efs_abuse.yml,rpc_firewall_efs_abuse.yml,Remote Encrypting File System Abuse,"EventLog=RPCFW EventID=3 InterfaceUuid IN (df1941c5-fe89-4e79-bf10-463657acf44d, c681d488-d850-11d0-8c52-00c04fd90f7e)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_eventlog_recon.yml,rpc_firewall_eventlog_recon.yml,Remote Event Log Recon,"EventLog=RPCFW EventID=3 InterfaceUuid IN (82273fdc-e32a-18c3-3f78-827929dc23ea, f6beaff7-1e19-4fbb-9f8f-b89e2018337c)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_itaskschedulerservice_lateral_movement.yml,rpc_firewall_itaskschedulerservice_lateral_movement.yml,Remote Schedule Task Lateral Movement via ITaskSchedulerService,"EventLog=RPCFW EventID=3 InterfaceUuid=86d35949-83c9-4044-b424-db363231fd0c OpNum IN (1, 3, 4, 10, 11, 12, 13, 14, 15)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_itaskschedulerservice_recon.yml,rpc_firewall_itaskschedulerservice_recon.yml,Remote Schedule Task Recon via ITaskSchedulerService,"EventLog=RPCFW EventID=3 InterfaceUuid=86d35949-83c9-4044-b424-db363231fd0c NOT (OpNum IN (1, 3, 4, 10, 11, 12, 13, 14, 15))"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_printing_lateral_movement.yml,rpc_firewall_printing_lateral_movement.yml,Remote Printing Abuse for Lateral Movement,"EventLog=RPCFW EventID=3 InterfaceUuid IN (12345678-1234-abcd-ef00-0123456789ab, 76f03f96-cdfd-44fc-a22c-64950a001209, 0b6edbfa-4a24-4fc6-8a23-942b1eca65d1, ae33069b-a2a8-46ee-a235-ddfd339be281)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_remote_dcom_or_wmi.yml,rpc_firewall_remote_dcom_or_wmi.yml,Remote DCOM/WMI Lateral Movement,"EventLog=RPCFW EventID=3 InterfaceUuid IN (4d9f4ab8-7d1c-11cf-861e-0020af6e7c57, 99fcfec4-5260-101b-bbcb-00aa0021347a, 000001a0-0000-0000-c000-000000000046, 00000131-0000-0000-c000-000000000046, 00000143-0000-0000-c000-000000000046, 00000000-0000-0000-c000-000000000046)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_remote_registry_lateral_movement.yml,rpc_firewall_remote_registry_lateral_movement.yml,Remote Registry Lateral Movement,"EventLog=RPCFW EventID=3 InterfaceUuid=338cd001-2244-31f1-aaaa-900038001003 OpNum IN (6, 7, 8, 13, 18, 19, 21, 22, 23, 35)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_remote_registry_recon.yml,rpc_firewall_remote_registry_recon.yml,Remote Registry Recon,"EventLog=RPCFW EventID=3 InterfaceUuid=338cd001-2244-31f1-aaaa-900038001003 NOT (OpNum IN (6, 7, 8, 13, 18, 19, 21, 22, 23, 35))"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_remote_server_service_abuse.yml,rpc_firewall_remote_server_service_abuse.yml,Remote Server Service Abuse,EventLog=RPCFW EventID=3 InterfaceUuid=4b324fc8-1670-01d3-1278-5a47bf6ee188
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_remote_service_lateral_movement.yml,rpc_firewall_remote_service_lateral_movement.yml,Remote Server Service Abuse for Lateral Movement,EventLog=RPCFW EventID=3 InterfaceUuid=367abb81-9844-35f1-ad32-98f038001003
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_sasec_lateral_movement.yml,rpc_firewall_sasec_lateral_movement.yml,Remote Schedule Task Lateral Movement via SASec,"EventLog=RPCFW EventID=3 InterfaceUuid=378e52b0-c0a9-11cf-822d-00aa0051e40f OpNum IN (0, 1)"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_sasec_recon.yml,rpc_firewall_sasec_recon.yml,Recon Activity via SASec,"EventLog=RPCFW EventID=3 InterfaceUuid=378e52b0-c0a9-11cf-822d-00aa0051e40f NOT (OpNum IN (0, 1))"
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_sharphound_recon_account.yml,rpc_firewall_sharphound_recon_account.yml,SharpHound Recon Account Discovery,EventLog=RPCFW EventID=3 InterfaceUuid=6bffd098-a112-3610-9833-46c3f87e345a OpNum=2
C:\SigmaRules\sigma\rules\application\rpc_firewall\rpc_firewall_sharphound_recon_sessions.yml,rpc_firewall_sharphound_recon_sessions.yml,SharpHound Recon Sessions,EventLog=RPCFW EventID=3 InterfaceUuid=4b324fc8-1670-01d3-1278-5a47bf6ee188 OpNum=12
C:\SigmaRules\sigma\rules\application\ruby\appframework_ruby_on_rails_exceptions.yml,appframework_ruby_on_rails_exceptions.yml,Ruby on Rails Framework Exceptions,ActionController::InvalidAuthenticityToken OR ActionController::InvalidCrossOriginRequest OR ActionController::MethodNotAllowed OR ActionController::BadRequest OR ActionController::ParameterMissing
C:\SigmaRules\sigma\rules\application\spring\spring_application_exceptions.yml,spring_application_exceptions.yml,Spring Framework Exceptions,AccessDeniedException OR CsrfException OR InvalidCsrfTokenException OR MissingCsrfTokenException OR CookieTheftException OR InvalidCookieException OR RequestRejectedException
C:\SigmaRules\sigma\rules\application\spring\spring_spel_injection.yml,spring_spel_injection.yml,Potential SpEL Injection In Spring Framework,org.springframework.expression.ExpressionException
C:\SigmaRules\sigma\rules\application\sql\app_sqlinjection_errors.yml,app_sqlinjection_errors.yml,Suspicious SQL Error Messages,quoted string not properly terminated OR You have an error in your SQL syntax OR Unclosed quotation mark OR near \\: syntax error OR SELECTs to the left and right of UNION do not have the same number of result columns
C:\SigmaRules\sigma\rules\application\velocity\velocity_ssti_injection.yml,velocity_ssti_injection.yml,Potential Server Side Template Injection In Velocity,ParseErrorException OR VelocityException OR TemplateInitException
C:\SigmaRules\sigma\rules\category\antivirus\av_exploiting.yml,av_exploiting.yml,Antivirus Exploitation Framework Detection,"Signature IN (Backdoor.Cobalt, Brutel, BruteR, CobaltStr, CobaltStrike, COBEACON, Cometer, Exploit.Script.CVE, IISExchgSpawnCMD, Metasploit, Meterpreter, MeteTool, Mpreter, MsfShell, PowerSploit, Razy, Rozena, Sbelt, Seatbelt, Sliver, Swrort)"
C:\SigmaRules\sigma\rules\category\antivirus\av_hacktool.yml,av_hacktool.yml,Antivirus Hacktool Detection,"Signature IN (Adfind, ATK/, Exploit.Script.CVE, HKTL, HTOOL, PWS., PWSX, SecurityTool) OR Signature IN (Adfind, ATK/, Brutel, BruteR, Cobalt, COBEACON, Cometer, DumpCreds, FastReverseProxy, Hacktool, Impacket, Keylogger, Koadic, Lazagne, Mimikatz, Nighthawk, PentestPowerShell, Potato, PowerSploit, PowerSSH, PshlSpy, PSWTool, PWCrack, PWDump, Rozena, Sbelt, Seatbelt, SecurityTool, SharpDump, Shellcode, Sliver, Splinter, Swrort, TurtleLoader)"
C:\SigmaRules\sigma\rules\category\antivirus\av_password_dumper.yml,av_password_dumper.yml,Antivirus Password Dumper Detection,"Signature=PWS OR Signature IN (DCSync, DumpCreds, DumpLsass, HTool/WCE, Kekeo, LsassDump, Mimikatz, Outflank, PShlSpy, PSWTool, PWCrack, PWDump, PWS., PWSX, Rubeus, SecurityTool, SharpDump)"
C:\SigmaRules\sigma\rules\category\antivirus\av_ransomware.yml,av_ransomware.yml,Antivirus Ransomware Detection,"Signature IN (BlackWorm, Crypter, CRYPTES, Cryptor, Destructor, Filecoder, GandCrab, GrandCrab, Krypt, Locker, Phobos, Ransom, Ryuk, Ryzerlo, Tescrypt, TeslaCrypt)"
C:\SigmaRules\sigma\rules\category\antivirus\av_relevant_files.yml,av_relevant_files.yml,Antivirus Relevant File Paths Alerts,"Filename IN (:\\PerfLogs\\, :\\Temp\\, :\\Users\\Default\\, :\\Users\\Public\\, :\\Windows\\, /www/, \\Client\\, \\inetpub\\, \\tsclient\\, apache, nginx, tomcat, weblogic) OR Filename IN (.asax, .ashx, .asmx, .asp, .aspx, .bat, .cfm, .cgi, .chm, .cmd, .dat, .ear, .gif, .hta, .jpeg, .jpg, .jsp, .jspx, .lnk, .msc, .php, .pl, .png, .ps1, .psm1, .py, .pyc, .rb, .scf, .sct, .sh, .svg, .txt, .vbe, .vbs, .war, .wll, .wsf, .wsh, .xll, .xml)"
C:\SigmaRules\sigma\rules\category\antivirus\av_webshell.yml,av_webshell.yml,Antivirus Web Shell Detection,"Signature IN (ASP., IIS/BackDoor, JAVA/Backdoor, JSP., Perl., PHP., Troj/ASP, Troj/JSP, Troj/PHP, VBS/Uxor) OR Signature IN (ASP_, ASP:, ASP.Agent, ASP/, ASP/Agent, Aspdoor, ASPXSpy, Backdoor.ASP, Backdoor.Java, Backdoor.JSP, Backdoor.PHP, Backdoor.VBS, Backdoor/ASP, Backdoor/Java, Backdoor/JSP, Backdoor/PHP, Backdoor/VBS, C99shell, Chopper, filebrowser, JSP_, JSP:, JSP.Agent, JSP/, JSP/Agent, Perl:, Perl/, PHP_, PHP:, PHP.Agent, PHP/, PHP/Agent, PHPShell, PShlSpy, SinoChoper, Trojan.ASP, Trojan.JSP, Trojan.PHP, Trojan.VBS, VBS.Agent, VBS/Agent, Webshell)"
C:\SigmaRules\sigma\rules\category\database\db_anomalous_query.yml,db_anomalous_query.yml,Suspicious SQL Query,drop OR truncate OR dump OR select \
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_attached_malicious_lambda_layer.yml,aws_attached_malicious_lambda_layer.yml,AWS Attached Malicious Lambda Layer,eventSource=lambda.amazonaws.com eventName=UpdateFunctionConfiguration
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_disable_logging.yml,aws_cloudtrail_disable_logging.yml,AWS CloudTrail Important Change,"eventSource=cloudtrail.amazonaws.com eventName IN (StopLogging, UpdateTrail, DeleteTrail)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_imds_malicious_usage.yml,aws_cloudtrail_imds_malicious_usage.yml,Malicious Usage Of IMDS Credentials Outside Of AWS Infrastructure,"NOT (eventSource=ssm.amazonaws.com OR eventName=RegisterManagedInstance OR sourceIPAddress=AWS Internal)
| regex userIdentity.arn=.+:assumed-role/aws:.+"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_new_acl_entries.yml,aws_cloudtrail_new_acl_entries.yml,New Network ACL Entry Added,eventSource=ec2.amazonaws.com eventName=CreateNetworkAclEntry
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_new_route_added.yml,aws_cloudtrail_new_route_added.yml,New Network Route Added,eventSource=ec2.amazonaws.com eventName=CreateRoute
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_security_group_change_ingress_egress.yml,aws_cloudtrail_security_group_change_ingress_egress.yml,Ingress/Egress Security Group Modification,"eventSource=ec2.amazonaws.com eventName IN (AuthorizeSecurityGroupEgress, AuthorizeSecurityGroupIngress, RevokeSecurityGroupEgress, RevokeSecurityGroupIngress)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_security_group_change_loadbalancer.yml,aws_cloudtrail_security_group_change_loadbalancer.yml,LoadBalancer Security Group Modification,"eventSource=elasticloadbalancing.amazonaws.com eventName IN (ApplySecurityGroupsToLoadBalancer, SetSecurityGroups)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_security_group_change_rds.yml,aws_cloudtrail_security_group_change_rds.yml,RDS Database Security Group Modification,"eventSource=rds.amazonaws.com eventName IN (AuthorizeDBSecurityGroupIngress, CreateDBSecurityGroup, DeleteDBSecurityGroup, RevokeDBSecurityGroupIngress)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_cloudtrail_ssm_malicious_usage.yml,aws_cloudtrail_ssm_malicious_usage.yml,Potential Malicious Usage of CloudTrail System Manager,eventName=SendCommand eventSource=ssm.amazonaws.com responseElements.command.status=Success
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_config_disable_recording.yml,aws_config_disable_recording.yml,AWS Config Disabling Channel/Recorder,"eventSource=config.amazonaws.com eventName IN (DeleteDeliveryChannel, StopConfigurationRecorder)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_console_getsignintoken.yml,aws_console_getsignintoken.yml,AWS Console GetSigninToken Potential Abuse,eventSource=signin.amazonaws.com eventName=GetSigninToken NOT userAgent=Jersey/${project.version}
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_delete_identity.yml,aws_delete_identity.yml,SES Identity Has Been Deleted,eventSource=ses.amazonaws.com eventName=DeleteIdentity
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_disable_bucket_versioning.yml,aws_disable_bucket_versioning.yml,AWS S3 Bucket Versioning Disable,eventSource=s3.amazonaws.com eventName=PutBucketVersioning requestParameters=Suspended
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_ec2_disable_encryption.yml,aws_ec2_disable_encryption.yml,AWS EC2 Disable EBS Encryption,eventSource=ec2.amazonaws.com eventName=DisableEbsEncryptionByDefault
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_ec2_startup_script_change.yml,aws_ec2_startup_script_change.yml,AWS EC2 Startup Shell Script Change,eventSource=ec2.amazonaws.com requestParameters.attribute=userData eventName=ModifyInstanceAttribute
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_ec2_vm_export_failure.yml,aws_ec2_vm_export_failure.yml,AWS EC2 VM Export Failure,eventName=CreateInstanceExportTask eventSource=ec2.amazonaws.com NOT (errorMessage= OR errorCode= OR responseElements=Failure)
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_ecs_task_definition_cred_endpoint_query.yml,aws_ecs_task_definition_cred_endpoint_query.yml,AWS ECS Task Definition That Queries The Credential Endpoint,"eventSource=ecs.amazonaws.com eventName IN (DescribeTaskDefinition, RegisterTaskDefinition, RunTask) requestParameters.containerDefinitions.command=$AWS_CONTAINER_CREDENTIALS_RELATIVE_URI"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_efs_fileshare_modified_or_deleted.yml,aws_efs_fileshare_modified_or_deleted.yml,AWS EFS Fileshare Modified or Deleted,eventSource=elasticfilesystem.amazonaws.com eventName=DeleteFileSystem
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_efs_fileshare_mount_modified_or_deleted.yml,aws_efs_fileshare_mount_modified_or_deleted.yml,AWS EFS Fileshare Mount Modified or Deleted,eventSource=elasticfilesystem.amazonaws.com eventName=DeleteMountTarget
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_eks_cluster_created_or_deleted.yml,aws_eks_cluster_created_or_deleted.yml,AWS EKS Cluster Created or Deleted,"eventSource=eks.amazonaws.com eventName IN (CreateCluster, DeleteCluster)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_elasticache_security_group_created.yml,aws_elasticache_security_group_created.yml,AWS ElastiCache Security Group Created,eventSource=elasticache.amazonaws.com eventName=CreateCacheSecurityGroup
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_elasticache_security_group_modified_or_deleted.yml,aws_elasticache_security_group_modified_or_deleted.yml,AWS ElastiCache Security Group Modified or Deleted,"eventSource=elasticache.amazonaws.com eventName IN (DeleteCacheSecurityGroup, AuthorizeCacheSecurityGroupIngress, RevokeCacheSecurityGroupIngress, AuthorizeCacheSecurityGroupEgress, RevokeCacheSecurityGroupEgress)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_enum_buckets.yml,aws_enum_buckets.yml,Potential Bucket Enumeration on AWS,eventSource=s3.amazonaws.com eventName=ListBuckets NOT userIdentity.type=AssumedRole
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_guardduty_disruption.yml,aws_guardduty_disruption.yml,AWS GuardDuty Important Change,eventSource=guardduty.amazonaws.com eventName=CreateIPSet
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_iam_backdoor_users_keys.yml,aws_iam_backdoor_users_keys.yml,AWS IAM Backdoor Users Keys,"eventSource=iam.amazonaws.com eventName=CreateAccessKey NOT userIdentity.arn=responseElements.accessKey.userName | table userIdentity.arn,responseElements.accessKey.userName,errorCode,errorMessage"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_iam_s3browser_loginprofile_creation.yml,aws_iam_s3browser_loginprofile_creation.yml,AWS IAM S3Browser LoginProfile Creation,"eventSource=iam.amazonaws.com eventName IN (GetLoginProfile, CreateLoginProfile) userAgent=S3 Browser"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_iam_s3browser_templated_s3_bucket_policy_creation.yml,aws_iam_s3browser_templated_s3_bucket_policy_creation.yml,AWS IAM S3Browser Templated S3 Bucket Policy Creation,eventSource=iam.amazonaws.com eventName=PutUserPolicy userAgent=S3 Browser requestParameters=\arn:aws:s3:::<YOUR-BUCKET-NAME>/\ requestParameters=\s3:GetObject\ requestParameters=\Allow\
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_iam_s3browser_user_or_accesskey_creation.yml,aws_iam_s3browser_user_or_accesskey_creation.yml,AWS IAM S3Browser User or AccessKey Creation,"eventSource=iam.amazonaws.com eventName IN (CreateUser, CreateAccessKey) userAgent=S3 Browser"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_passed_role_to_glue_development_endpoint.yml,aws_passed_role_to_glue_development_endpoint.yml,AWS Glue Development Endpoint Activity,"eventSource=glue.amazonaws.com eventName IN (CreateDevEndpoint, DeleteDevEndpoint, UpdateDevEndpoint)"
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_rds_change_master_password.yml,aws_rds_change_master_password.yml,AWS RDS Master Password Change,eventSource=rds.amazonaws.com responseElements.pendingModifiedValues.masterUserPassword= eventName=ModifyDBInstance
C:\SigmaRules\sigma\rules\cloud\aws\cloudtrail\aws_rds_public_db_restore.yml,aws_rds_public_db_restore.yml,Restore Public AWS RDS Instance,eventSource=rds.amazonaws.com responseElements.publiclyAccessible=true eventName=RestoreDBInstanceFromDBSnapshot
